,v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,yWendu,bWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi,h_3,h_9,l_3,l_9,h_price_pred,l_price_pred
0,生姜,7.2,8.0,6.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.6666666666666665,3.377777777777778,2.9,2.666666666666666,8.084390556733002,6.791109377978696
1,大蒜,8.4,8.8,7.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.6000000000000005,4.066666666666667,4.533333333333333,3.266666666666666,8.879669226643106,7.751486082496312
2,芹菜,4.8,5.2,4.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.6000000000000005,4.855555555555556,6.466666666666666,3.999999999999999,5.0803263305605135,4.378818481419463
3,莴笋,2.4,3.0,2.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.333333333333333,4.833333333333334,6.3,4.033333333333332,3.104808560520681,2.1985357658468345
4,蒜薹,9.5,10.0,8.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,4.555555555555556,4.8,3.7333333333333325,10.074434334967039,7.946780066515032
5,西红柿,5.3,5.8,4.9,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.066666666666666,5.477777777777778,4.866666666666666,4.499999999999999,5.692572834515108,4.7973416303268985
6,尖椒,6.0,6.5,5.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.266666666666667,5.755555555555556,5.0,4.7333333333333325,6.39470648895472,5.59646743977512
7,青椒,4.5,4.8,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.433333333333334,6.233333333333333,6.133333333333333,5.155555555555555,4.88999422820236,4.084044111845062
8,茄子,4.5,5.0,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.7,6.455555555555556,4.8,5.377777777777776,5.538465931570358,4.336376472886144
9,黄瓜,4.2,4.6,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.433333333333334,6.344444444444445,4.5666666666666655,5.288888888888888,4.71988586260972,4.013710646512675
