,v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,lWendu,hWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi,h_3,h_9,l_3,l_9,h_price_pred,l_price_pred
0,芹菜,2.5,2.6,2.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,8.933333333333334,5.5777777777777775,7.933333333333334,4.8,3.0843840579710204,2.3367391304347813
1,莴笋,4.0,5.0,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,9.000000000000002,5.355555555555555,7.933333333333334,4.622222222222222,3.0843840579710204,2.3367391304347813
2,莲藕,3.9,5.0,2.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,7.733333333333333,5.688888888888888,6.133333333333333,4.777777777777777,3.0843840579710204,2.3367391304347813
3,茭白,2.2,2.4,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,4.2,5.844444444444444,2.733333333333333,4.71111111111111,3.0843840579710204,2.3367391304347813
4,西兰花,7.4,7.6,7.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,4.133333333333334,5.777777777777777,2.5999999999999996,4.777777777777777,3.0843840579710204,2.3367391304347813
5,西红柿,4.6,5.6,3.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,5.0,5.844444444444444,4.0,4.9111111111111105,3.0843840579710204,2.3367391304347813
6,条形辣椒干（小米椒）,5.5,6.0,5.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,5.2,6.111111111111111,4.266666666666667,4.977777777777778,6.0,5.0
7,青椒,5.0,5.2,4.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,6.400000000000001,6.51111111111111,5.266666666666667,5.266666666666667,3.0843840579710204,2.3367391304347813
8,茄子,5.3,6.0,4.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,5.600000000000001,6.111111111111111,4.466666666666668,4.866666666666666,3.0843840579710204,2.3367391304347813
9,黄瓜,4.1,4.2,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,5.733333333333334,5.044444444444444,4.8,3.933333333333333,3.0843840579710204,2.3367391304347813
10,苦瓜,4.8,5.0,4.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,5.133333333333334,5.222222222222222,4.466666666666666,4.111111111111111,5.664383561643833,4.784246575342465
11,南瓜,1.1,1.4,0.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,5.066666666666667,5.222222222222222,4.3999999999999995,4.288888888888889,3.0843840579710204,2.3367391304347813
12,冬瓜,1.05,1.6,0.5,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,3.5333333333333337,4.822222222222222,3.1333333333333333,4.066666666666666,3.0843840579710204,2.3367391304347813
13,丝瓜,9.5,10.0,9.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,2.6666666666666665,4.733333333333333,1.9666666666666668,3.9000000000000004,7.577272727272728,6.604545454545455
14,豇豆,9.1,9.2,9.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,4.333333333333333,5.0,3.4333333333333336,4.1,8.95,8.35
15,平菇,5.5,6.0,5.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102.0,6.933333333333334,5.4,6.166666666666667,4.699999999999999,4.8,3.793103448275862
