v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,lWendu,hWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi
韭菜,4.30,4.60,4.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
红萝卜,1.80,2.00,1.60,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
白萝卜,3.50,3.60,3.40,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
土豆,2.20,3.00,1.40,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
山药,6.50,7.00,6.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
芋头,3.10,3.20,3.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
大葱,2.40,2.40,2.40,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
生姜,8.60,8.80,8.40,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
大蒜,14.30,15.60,13.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
芹菜,2.50,2.60,2.40,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
莴笋,4.00,5.00,3.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
莲藕,3.90,5.00,2.80,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
茭白,2.20,2.40,2.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
西兰花,7.40,7.60,7.20,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
西红柿,4.60,5.60,3.60,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
条形辣椒干（小米椒）,5.50,6.00,5.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
青椒,5.00,5.20,4.80,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
茄子,5.30,6.00,4.60,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
黄瓜,4.10,4.20,4.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
苦瓜,4.80,5.00,4.60,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
南瓜,1.10,1.40,0.80,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
冬瓜,1.05,1.60,0.50,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
丝瓜,9.50,10.00,9.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
豇豆,9.10,9.20,9.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
平菇,5.50,6.00,5.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-10,2018-04-24,9,18,多云,微风,无持续风向,41,1,优,102
韭菜,3.70,4.40,3.00,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102
红萝卜,2.40,2.60,2.20,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102
白萝卜,1.90,2.20,1.60,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102
