,v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,yWendu,bWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi,h_3,h_9,l_3,l_9,h_price_pred,l_price_pred
9,生姜,7.2,8.0,6.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.6666666666666665,3.377777777777778,2.9,2.666666666666666,2.767240192704762,2.1689091534755716
10,大蒜,8.4,8.8,7.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.6000000000000005,4.066666666666667,4.533333333333333,3.266666666666666,2.767240192704762,2.1689091534755716
11,芹菜,4.8,5.2,4.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.6000000000000005,4.855555555555556,6.466666666666666,3.999999999999999,2.767240192704762,2.1689091534755716
12,莴笋,2.4,3.0,2.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.333333333333333,4.833333333333334,6.3,4.033333333333332,2.767240192704762,2.1689091534755716
13,蒜薹,9.5,10.0,8.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,4.555555555555556,4.8,3.7333333333333325,2.767240192704762,2.1689091534755716
14,西红柿,5.3,5.8,4.9,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.066666666666666,5.477777777777778,4.866666666666666,4.499999999999999,2.767240192704762,2.1689091534755716
15,尖椒,6.0,6.5,5.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.266666666666667,5.755555555555556,5.0,4.7333333333333325,10.0,8.934782608695652
16,青椒,4.5,4.8,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.433333333333334,6.233333333333333,6.133333333333333,5.155555555555555,8.353658536585368,6.95609756097561
17,茄子,4.5,5.0,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.7,6.455555555555556,4.8,5.377777777777776,2.767240192704762,2.1689091534755716
18,黄瓜,4.2,4.6,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.433333333333334,6.344444444444445,4.5666666666666655,5.288888888888888,9.5,8.5
19,南瓜,1.9,2.2,1.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,4.8,5.966666666666667,4.0666666666666655,4.999999999999999,2.767240192704762,2.1689091534755716
20,冬瓜,2.1,2.3,1.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.9333333333333322,5.233333333333334,3.2666666666666653,4.311111111111111,4.466666666666667,3.377777777777778
21,香菇,11.0,12.5,10.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.0333333333333328,4.911111111111111,2.4666666666666655,4.01111111111111,2.767240192704762,2.1689091534755716
22,金针菇,12.0,13.0,11.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,5.966666666666667,4.633333333333332,4.944444444444444,2.767240192704762,2.1689091534755716
23,大白菜,1.5,1.8,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,9.266666666666667,6.300000000000001,7.766666666666665,5.277777777777777,2.767240192704762,2.1689091534755716
24,洋白菜,1.4,1.7,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,9.1,5.855555555555556,7.566666666666664,4.866666666666666,4.161165048543689,3.648543689320388
25,生菜,4.6,5.2,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.5,5.322222222222223,4.466666666666664,4.388888888888889,6.8,4.6
26,韭菜,5.0,5.5,4.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.9,5.366666666666668,2.199999999999997,4.411111111111111,2.767240192704762,2.1689091534755716
27,白萝卜,1.5,1.8,1.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.133333333333333,5.422222222222223,3.3999999999999972,4.477777777777778,2.767240192704762,2.1689091534755716
28,胡萝卜,3.0,3.3,2.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.166666666666667,5.111111111111112,3.366666666666664,4.155555555555555,2.767240192704762,2.1689091534755716
