,v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,yWendu,bWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi,h_3,h_9,l_3,l_9,h_price_pred,l_price_pred
0,生姜,7.2,8.0,6.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.6666666666666665,3.377777777777778,2.9,2.666666666666666,8.695454545454547,6.904545454545453
1,大蒜,8.4,8.8,7.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.6000000000000005,4.066666666666667,4.533333333333333,3.266666666666666,8.8,7.8
2,芹菜,4.8,5.2,4.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.6000000000000005,4.855555555555556,6.466666666666666,3.999999999999999,4.386486486486482,3.5535135135135145
3,莴笋,2.4,3.0,2.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.333333333333333,4.833333333333334,6.3,4.033333333333332,2.767240192704762,2.1689091534755716
4,蒜薹,9.5,10.0,8.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,4.555555555555556,4.8,3.7333333333333325,10.0,8.0
5,西红柿,5.3,5.8,4.9,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.066666666666666,5.477777777777778,4.866666666666666,4.499999999999999,2.767240192704762,2.1689091534755716
6,尖椒,6.0,6.5,5.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.266666666666667,5.755555555555556,5.0,4.7333333333333325,6.769999999999999,5.527500000000002
7,青椒,4.5,4.8,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.433333333333334,6.233333333333333,6.133333333333333,5.155555555555555,3.997513812154699,2.7691988950276243
8,茄子,4.5,5.0,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.7,6.455555555555556,4.8,5.377777777777776,3.997513812154699,2.7691988950276243
9,黄瓜,4.2,4.6,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.433333333333334,6.344444444444445,4.5666666666666655,5.288888888888888,3.997513812154699,2.7691988950276243
10,南瓜,1.9,2.2,1.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,4.8,5.966666666666667,4.0666666666666655,4.999999999999999,3.997513812154699,2.7691988950276243
11,冬瓜,2.1,2.3,1.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.9333333333333322,5.233333333333334,3.2666666666666653,4.311111111111111,2.767240192704762,2.1689091534755716
12,香菇,11.0,12.5,10.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.0333333333333328,4.911111111111111,2.4666666666666655,4.01111111111111,12.5,10.5
13,金针菇,12.0,13.0,11.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,5.966666666666667,4.633333333333332,4.944444444444444,13.0,11.0
14,大白菜,1.5,1.8,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,9.266666666666667,6.300000000000001,7.766666666666665,5.277777777777777,3.997513812154699,2.7691988950276243
15,洋白菜,1.4,1.7,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,9.1,5.855555555555556,7.566666666666664,4.866666666666666,2.767240192704762,2.1689091534755716
16,生菜,4.6,5.2,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.5,5.322222222222223,4.466666666666664,4.388888888888889,5.393103448275863,4.001724137931034
17,韭菜,5.0,5.5,4.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.9,5.366666666666668,2.199999999999997,4.411111111111111,5.143103448275864,4.237068965517242
18,白萝卜,1.5,1.8,1.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.133333333333333,5.422222222222223,3.3999999999999972,4.477777777777778,2.767240192704762,2.1689091534755716
19,胡萝卜,3.0,3.3,2.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.166666666666667,5.111111111111112,3.366666666666664,4.155555555555555,2.767240192704762,2.1689091534755716
20,土豆,1.9,2.2,1.7,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,3.5333333333333337,5.233333333333333,2.8999999999999972,4.288888888888888,2.767240192704762,2.1689091534755716
21,葱头,2.4,2.8,2.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.4333333333333336,5.222222222222223,1.8666666666666638,4.277777777777778,2.767240192704762,2.1689091534755716
22,大葱,5.5,6.0,5.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.766666666666667,4.144444444444445,2.166666666666664,3.3333333333333335,2.767240192704762,2.1689091534755716
23,生姜,7.0,8.0,6.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,3.6666666666666665,3.366666666666667,2.8999999999999972,2.6666666666666665,8.695454545454547,6.904545454545453
24,大蒜,8.2,8.8,7.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.6000000000000005,4.055555555555556,4.5333333333333306,3.266666666666667,8.8,7.8
25,芹菜,4.6,5.0,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,7.6000000000000005,4.844444444444445,6.466666666666664,4.0,4.386486486486482,3.5535135135135145
26,莴笋,2.4,2.8,2.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,7.266666666666667,4.822222222222223,6.199999999999997,4.0,2.767240192704762,2.1689091534755716
27,蒜薹,9.5,10.0,8.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.533333333333334,4.522222222222222,4.666666666666663,3.688888888888889,10.0,8.0
28,西红柿,5.3,5.8,4.9,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.933333333333334,5.433333333333334,4.733333333333331,4.455555555555556,2.767240192704762,2.1689091534755716
29,尖椒,5.8,6.2,5.3,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,6.2,5.711111111111112,4.966666666666665,4.688888888888889,6.769999999999999,5.527500000000002
30,青椒,4.5,4.8,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,7.333333333333333,6.155555555555556,6.0666666666666655,5.088888888888889,3.997513812154699,2.7691988950276243
31,茄子,4.5,5.0,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.6000000000000005,6.377777777777778,4.733333333333332,5.311111111111111,3.997513812154699,2.7691988950276243
32,黄瓜,4.2,4.6,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.333333333333333,6.2666666666666675,4.499999999999998,5.222222222222222,3.997513812154699,2.7691988950276243
33,南瓜,1.9,2.2,1.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.800000000000001,5.888888888888889,4.066666666666664,4.933333333333334,2.767240192704762,2.1689091534755716
34,冬瓜,2.1,2.3,1.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,3.9333333333333336,5.155555555555556,3.266666666666664,4.2444444444444445,2.767240192704762,2.1689091534755716
35,香菇,11.0,12.5,10.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,3.0333333333333337,4.855555555555556,2.466666666666664,3.9777777777777774,12.5,10.5
36,金针菇,12.0,13.0,11.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.666666666666667,5.933333333333334,4.63333333333333,4.922222222222222,13.0,11.0
37,大白菜,1.3,1.6,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-04,2018-04-19,11,22,多云,微风,南风,148,3,轻度污染,102.3,9.266666666666667,6.2666666666666675,7.766666666666663,5.2555555555555555,3.997513812154699,2.7691988950276243
