,v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,yWendu,bWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi,h_3,h_9,l_3,l_9,h_price_pred,l_price_pred
0,生姜,7.2,8.0,6.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.6666666666666665,3.377777777777778,2.9,2.666666666666666,8.08429690441697,6.791142194745895
1,大蒜,8.4,8.8,7.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.6000000000000005,4.066666666666667,4.533333333333333,3.266666666666666,8.87964523588435,7.751047698952835
2,芹菜,4.8,5.2,4.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.6000000000000005,4.855555555555556,6.466666666666666,3.999999999999999,5.0808304526504955,4.378883290285042
3,莴笋,2.4,3.0,2.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.333333333333333,4.833333333333334,6.3,4.033333333333332,3.1052217758436056,2.198304707870233
4,蒜薹,9.5,10.0,8.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,4.555555555555556,4.8,3.7333333333333325,10.074663116630237,7.947005244559897
5,西红柿,5.3,5.8,4.9,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.066666666666666,5.477777777777778,4.866666666666666,4.499999999999999,5.6920559653629725,4.797245424661309
6,尖椒,6.0,6.5,5.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,6.266666666666667,5.755555555555556,5.0,4.7333333333333325,6.3947316261523035,5.59635128925845
7,青椒,4.5,4.8,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,7.433333333333334,6.233333333333333,6.133333333333333,5.155555555555555,4.89000461557101,4.083495653720354
8,茄子,4.5,5.0,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.7,6.455555555555556,4.8,5.377777777777776,5.538280024060247,4.33652041408404
9,黄瓜,4.2,4.6,4.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.433333333333334,6.344444444444445,4.5666666666666655,5.288888888888888,4.719798386364605,4.0144674570859475
10,南瓜,1.9,2.2,1.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,4.8,5.966666666666667,4.0666666666666655,4.999999999999999,2.097793023265054,1.6169445666070525
11,冬瓜,2.1,2.3,1.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.9333333333333322,5.233333333333334,3.2666666666666653,4.311111111111111,2.3837977882676866,1.9042833131726948
12,香菇,11.0,12.5,10.5,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,3.0333333333333328,4.911111111111111,2.4666666666666655,4.01111111111111,12.404672300147103,10.41263855813209
13,金针菇,12.0,13.0,11.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-01,2018-04-19,6,19,晴,微风,南风,137,3,轻度污染,102.3,5.666666666666667,5.966666666666667,4.633333333333332,4.944444444444444,12.868225545629002,10.894709005676232
14,大白菜,1.5,1.8,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,9.266666666666667,6.300000000000001,7.766666666666665,5.277777777777777,2.1186351330779276,1.2446969062134858
15,洋白菜,1.4,1.7,1.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,9.1,5.855555555555556,7.566666666666664,4.866666666666666,1.5951705159179324,1.0983568475532814
16,生菜,4.6,5.2,4.2,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,5.5,5.322222222222223,4.466666666666664,4.388888888888889,5.301263368383484,4.301636038544229
17,韭菜,5.0,5.5,4.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.9,5.366666666666668,2.199999999999997,4.411111111111111,5.986434848541374,4.64692422036261
18,白萝卜,1.5,1.8,1.1,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.133333333333333,5.422222222222223,3.3999999999999972,4.477777777777778,1.9114964828327285,1.2143382696890206
19,胡萝卜,3.0,3.3,2.8,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,4.166666666666667,5.111111111111112,3.366666666666664,4.155555555555555,3.9813906184147236,3.3899079482746806
20,土豆,1.9,2.2,1.7,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,3.5333333333333337,5.233333333333333,2.8999999999999972,4.288888888888888,2.3092874288691387,1.8063237590160086
21,葱头,2.4,2.8,2.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.4333333333333336,5.222222222222223,1.8666666666666638,4.277777777777778,2.785210018547352,2.091187511047686
22,大葱,5.5,6.0,5.0,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,2.766666666666667,4.144444444444445,2.166666666666664,3.3333333333333335,6.111941889674223,5.103691031418601
23,生姜,7.0,8.0,6.6,四川成都龙泉聚和(国际)果蔬菜交易中心,cd,vegnet.com.cn,2016-03-02,2018-04-19,9,21,阴~多云,微风,南风,113,3,轻度污染,102.3,3.6666666666666665,3.366666666666667,2.8999999999999972,2.6666666666666665,8.581335907368725,7.843568280247661
