v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,lWendu,hWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi
大白菜,1.80,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
洋白菜,2.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
小白菜,3.80,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
生菜,3.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
菠菜,6.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
木耳菜,5.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
茼蒿,4.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
苋菜,5.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
香菜,8.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
油麦菜,3.80,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
芥菜,5.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
空心菜,6.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
韭菜,6.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
小葱,8.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
蒜苗,6.60,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
红萝卜,3.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
白萝卜,2.60,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
胡萝卜,3.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
土豆,2.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
葱头,2.80,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
大葱,4.90,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
生姜,6.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
大蒜,13.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
芹菜,4.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
西洋芹,4.40,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-10,2018-04-24,4,14,多云~晴,1-2级,东北风,47,1,优,101.5
大白菜,1.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
洋白菜,2.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
小白菜,2.20,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
生菜,3.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
菠菜,5.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
木耳菜,8.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
茼蒿,8.00,0.00,0.00,贵阳地利农产品物流园有限公司,gy,vegnet.com.cn,2016-11-13,2018-04-24,11,15,阴~小到中雨,1-2级,东北风,54,2,良,101.5
